File,Video URL,Player,Player Ruby,Date,Team Name,Result,Segment,Floor,Depth,Seed,Version,Mod List,Money,Inventory Value,Starting Money,Score,Turns,Time,Team,Starting Items,Notes,Gender Unlock
2022-12-04_20-56-10.rsrec,,Xindage,,2022-12-05,Team Gardeners,Cleared,,30,30,B6DFBE0374C54611,v0.6.6,,61861,14200,0,76061,11320,,"Clefairy/Clefairy, Toxicroak/Toxicroak|Female, Vaporeon/Vaporeon, Ditto/Ditto","X-Ray Specs, Elixir, Pearl x9, Escape Orb",,
2022-11-25_14-19-46.rsrec,,Trio-,,2022-11-26,Spooks,Cleared,,30,30,AC5AC499263C44D8,v0.6.5,,30197,14866,0,45063,10273,,"Sunflora/Sunflora, Shelgon/Shelgon, Cherrim/Cherrim, Vulpix/Vulpix","Escape Orb, Leppa Berry x2, Ban Seed",,
111.rsrec,,勇敢的,yonggande,2023-04-02,Sunny,Cleared,,30,30,F8C292B2E0E68D0B,v0.7.5,,27203,4512,5430,26285,7633,2:11:58,"Golem/Golem, Gliscor/Gliscor, Larvitar/Larvitar, Drifblim/Drifblim","Weather Rock, Escape Orb, Revival Orb, Recall Box",,true
2022-11-12_23-38-07.rsrec,,Rime,,2022-10-12,Team Guildmaster,Cleared,,30,30,A12761563BD0FC31,v0.6.5,,17297,8498,0,25795,5870,,"ARan/Ninetales, PShizuha/Leafeon, PYuuka/Sunflora, Magcargo/Magcargo",Escape Orb,,
2022-10-25_09-55-22.rsrec,,Rings,,2022-10-25,Team Guildmaster,Cleared,,30,30,D3AA769AF1AAE72E,v0.6.5,,14830,7245,0,22075,10130,,"Svyelun/Vaporeon, Spikes/Jolteon, Nuke/Flareon, Clamocea/Sylveon","X-Ray Specs, Life Orb, Escape Orb",,true
2022-06-29_12-54-32.rsrec,,Nemo the Axolotl,,2022-06-29,Wyrmlings,Cleared,,30,30,261C53BF7AB3925D,v0.5.17,,12285,9010,0,21295,8091,,"Xolotl/Salamence, Noodle/Dragonite, Girodo/Flygon, Lavender/Cherrim","Heal Ribbon x2, Mobile Scarf, Escape Orb",,
2022-05-13_09-12-33.rsrec,https://www.youtube.com/playlist?list=PLXlJTVdeyhO_bXpkRZJdSxpAArjh3xYFO,Audino,,2022-05-14,Blastoise,Cleared,,30,30,E249554DB0D07AB9,v0.5.12 (beta),,14408,2287,0,16695,9899,,"Blastoise/Blastoise, Mamoswine/Mamoswine|Female, Bronzong/Bronzong, Mightyena/Mightyena",(none),First-try clear.,
Gorzado..._WINS.rsrec,,Filthy,,2023-08-07,Gorzado,Cleared,,30,30,BAD4FF59541037A5,v0.7.14,,5126,3786,0,8912,5042,1:03:01,"Gorzado/Charmeleon, Bradshaw/Croconaw, Cobalt/Lucario, Jade/Trapinch",(none),,
2022-03-12_01-59-28.rsrec,,justjude97,,2022-03-12,pokefinders,Cleared,,30,30,5FD358B460CD7641,v0.5.8,,7097,4589,3000,8686,7110,,"eve/Sylveon, vixie/Ninetales, Vappy/Vaporeon, bark/Lucario","Big Apricorn, Leppa Berry x2, Reviver Seed",,
2022-08-07_19-23-16.rsrec,,Daowlie10,,2022-08-07,One-for-All,Escaped,,23,23,92E2BDB20ACED7EE,v0.5.20,,14474,7010,0,21484,5757,,"Wilhelm/Blastoise, Luda/Togekiss, Missy/Mismagius, Lucas/Dragonair","Escape Orb, Leppa Berry x3",,
2022-03-19_22-26-36.rsrec,,Aviivix,,2022-03-20,Aves,Defeated,,23,23,9B88376F0F5FC8A7,v0.5.8,,6314,5328,0,11642,4813,,"Honchkrow/Honchkrow, Empoleon/Empoleon, Chatot/Chatot, Pidgeotto/Pidgeotto","Apple, Oran Berry, Leppa Berry, Reviver Seed",,
best_run_22f.rsrec,,friend,,2023-03-30,Ad Caelum,Escaped,,22,22,94F56C2AB169B480,v0.7.4,,13717,10810,6455,18072,7063,1:07:40,"Vinz/Torterra, Blastoise/Blastoise, Gliscor/Gliscor, Houndoom/Houndoom","Big Apple, Leppa Berry, Escape Orb, Green Gummi",,
2023-08-21_10-41-00.rsrec,,NanaelJustice,,2023-08-22,Cure Justice,Escaped,,19,19,A8901D05FE8CE0E,v0.7.15.1,,8560,8335,6452,10443,5688,2:05:29,"Kaoru/Hariyama, Nanael/Venusaur, Kururun/Azumarill, Nagisa/Luxray","Shed Shell, Reviver Seed, Brown Apricorn, Escape Orb",,
deeshura_-_first_GT_attempt.rsrec,,Deeshura,,2023-09-01,Flare Star,Escaped,,16,16,EBE18D9490959C66,v0.7.16,,6469,8270,2877,11862,4634,1:52:28,"Lin/Serperior, Eterna/Floette, Beeyell/Staraptor, Conan/Granbull","Reviver Seed, Escape Orb, Freeze Orb, Fear Wand x9",,
2023-08-12_16-46-43.rsrec,,Glavier,,2023-08-12,Solaris,Escaped,,14,14,2B59C6523B8E2E79,v0.7.15.1,,11756,12877,7030,17603,3658,1:00:02,"Psique/Togekiss, Ptisi/Gliscor, Sidero/Scyther, Mirage/Alolan Vulpix",Escape Orb,,
2023-08-07_13-24-21.rsrec,,Expi,,2023-08-07,Stormcall,Escaped,,11,11,A6834A025A6C192B,v0.7.14,,2810,10855,880,12785,2551,0:55:20,"Amber/Delphox, Aeri/Dragonair, Leo/Raichu, Nidan/Lucario","Pichu Hair, Escape Orb, Cleanse Orb",,true
2022-06-10_03-39-23.rsrec,,Vladcik,,2022-06-09,RNG,Escaped,,11,11,730FDC91C0577929,v0.5.14.1,,2548,5175,1378,6345,2836,,"Vladcik/Charizard, Feraligatr/Feraligatr, Togekiss/Togekiss, Clefairy/Clefairy","Escape Orb, Apple, Reviver Seed, Blast Seed",,
2022-03-17_21-45-08.rsrec,,Paravoina,,2022-03-17,Myself&I,Defeated,,6,6,A3FA7507EFFE7164,v0.5.8,,362,4233,0,4595,1187,,"wokkawokka/Charmeleon, Sus/Breloom, waer/Finneon|Female, Chomp/Croconaw","Leppa Berry x2, Reviver Seed, Escape Orb","Actually a bug test replay, threw it up here because it's Paravoina's first submitted run",
